;100;200;400;800;1500;5000;10000;42200
1936;11.70;23.60;;136.80;287.20;;;
1948;11.50;23.60;;133.80;277.20;;;
1952;11.40;23.40;;128.50;277.00;;;
1956;11.30;23.20;;125.00;275.40;;;
1960;11.30;22.90;53.40;124.30;269.70;;;
1964;11.20;22.90;51.90;121.10;259.00;;;11973.00
1968;11.10;22.50;51.90;120.50;255.60;;;11246.00
1972;11.07;22.40;51.00;118.50;241.40;;2130.50;9990.00
1976;11.01;22.21;49.29;114.90;236.00;;2041.40;9499.00
1980;10.88;21.71;48.60;113.50;232.47;930.60;1905.40;8741.00
1984;10.76;21.71;47.99;113.28;232.47;898.89;1873.78;8562.00
1988;10.49;21.34;47.60;113.28;232.47;877.33;1813.74;8466.00
1992;10.49;21.34;47.60;113.28;232.47;877.33;1813.74;8466.00
1996;10.49;21.34;47.60;113.28;230.46;876.45;1771.78;8466.00
;;;;;;;;
;100;200;400;800;1500;5000;10000;42200
1912;10.50;21.20;47.80;112.80;235.80;901.20;1858.80;9751.00
1920;10.50;21.20;47.40;111.90;234.70;876.60;1858.80;9155.80
1924;10.20;21.00;47.40;111.90;232.60;868.20;1835.40;9155.80
1928;10.20;20.60;47.00;110.60;231.00;868.20;1806.20;8941.80
1932;10.20;20.30;46.40;110.60;229.20;857.00;1806.20;8941.80
1936;10.20;20.30;46.10;109.70;228.20;857.00;1806.20;8802.00
1948;10.20;20.30;45.90;106.60;223.00;838.20;1775.80;8739.00
1952;10.10;20.20;45.80;106.60;223.00;838.20;1742.60;8442.20
1956;10.10;20.00;45.20;105.70;220.60;816.80;1710.40;8259.40
1960;10.00;20.00;45.20;105.70;215.60;815.00;1710.40;8116.20
1964;10.00;20.00;44.90;104.30;215.60;815.00;1695.60;7931.20
1968;9.95;19.92;43.86;104.30;213.10;796.60;1695.40;7776.40
1972;9.95;19.83;43.86;104.30;213.10;796.60;1658.60;7713.60
1976;9.95;19.83;43.86;103.70;212.20;793.00;1650.80;7713.60
1980;9.95;19.72;43.86;102.33;212.10;788.40;1642.50;7713.60
1984;9.93;19.72;43.86;101.73;210.37;780.41;1633.80;7698.00
1988;9.86;19.72;43.29;101.73;209.46;778.39;1633.80;7610.00
1992;9.86;19.72;43.29;101.73;209.46;778.39;1628.20;7610.00
1996;9.84;19.32;43.29;101.73;207.37;764.39;1603.53;7610.00
